PID,QuestionID,Text,Domain,Subtheme,Codes,QuoteCandidate,Notes
P03,Q9_followup,the survey was unfairly rejecting participants based on attention checks that were not allowed under the platform's rules,Compensation & Economic Security,Positive compensation experience,unfair_pay,Y,Systematically coded
P03,Q10_effects,"I was warned, the survey included discussions of drug use and had a link to a support line",Content Exposure & Emotional Load,Support system challenges,support_issues,N,Systematically coded
P03,Q11_describe,some of the reviews take a very long time to process very short tasks,Transparency & QA,General transparency issues,,N,Manually coded
P03,Q12_challenges,it is sometimes unclear what the data is being used for,Transparency & QA,Data usage transparency,unclear_processes; clear_processes,N,Manually coded
P03,Q13_improvements,"being sent links to the final or published study, in academic cases. if surveys are helping corporations, it should be clear which ones.",Transparency & QA,Positive transparency experience,clear_processes,Y,Manually coded
P04,Q7_explain,it is a good pay,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P04,Q9_followup,i had technical issues on my end.,Platform Reliability & Access,Technical reliability issues,technical_issues,N,Systematically coded
P04,Q10_effects,graphic .The platform also gave warnings,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N,Systematically coded
P04,Q11_describe,the acceptance is fair and the rating system is good.,Transparency & QA,Positive transparency experience,clear_processes,N,Manually coded
P04,Q12_challenges,sometime there is pressure to some timed task,Task Design & Time Pressure,Time pressure and constraints,work_pressure; time_constraints,N,Manually coded
P04,Q13_improvements,increasing the amount of pay,Compensation & Economic Security,General compensation issues,,N,Manually coded
P05,Q7_explain,According to the time i spend doing the work i feel fairly compensated,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N,Manually coded
P05,Q11_describe,I do tasks willingly knowing exactly how much I would be paid,Transparency & QA,General transparency issues,,N,Manually coded
P05,Q12_challenges,I have never had any problems,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P05,Q13_improvements,"TRASPARENT RESERCHERS, BECAUSE SOME RESEARCHERS CHOOSE TO COLLECT DATA AND REJECT SUBMISSIONS AND NOT PAY",Compensation & Economic Security,General compensation issues,,Y,Manually coded
P06,Q7_explain,I dont accept the tasks because the work is too much for little pay,Compensation & Economic Security,Effort-pay mismatch,,N,Manually coded
P06,Q12_challenges,drawn out work with no time table,Task Design & Time Pressure,Task design challenges,time_constraints,N,Manually coded
P06,Q13_improvements,better pay,Compensation & Economic Security,General compensation issues,,N,Manually coded
P07,Q7_explain,Estimates are typically inaccurate for how long particular tasks take to complete. Even the stated pay per task is roughly minimum wage or less in a lot of cases.,Compensation & Economic Security,Low pay rates,below_minimum_wage,Y,Manually coded
P07,Q10_effects,"I recall some surveys on jury trials with mildly harmful content. But the platform always gives warnings on the pre-screen summary page, so there are no surprises.",Content Exposure & Emotional Load,Platform access problems,platform_issues,N,Systematically coded
P07,Q11_describe,"The platform is generally very good in explaining how tasks need to be completed in order to be accepted. And it's also generally good at explaining payment rules, though the pay rates are usually around minimum wage or less. The platform does pay almost immediately when a cash out is requested.",Transparency & QA,Positive transparency experience,clear_processes,Y,Manually coded
P07,Q12_challenges,"There have been really no challenges or ethical concerns that I have encountered as a data annotator, other than generally low pay rates.",Compensation & Economic Security,Low pay rates,,Y,Manually coded
P07,Q13_improvements,More consistent work opportunities and higher pay are the only things I can think of. Communication of the rules has always been generally good and transparent.,Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P08,Q7_explain,Payment varies by requestor but generally feels fair for the task being required for completion,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P08,Q10_effects,I have encountered some content that people might regard as harmful such as hate speech or sexually explicit material but I do not tend to find I have much of an emotional reaction to this.  The platform usually gives adequate warnings if such content is likely to be present,Content Exposure & Emotional Load,Disturbing content exposure,hate_speech; content_warnings,N,Systematically coded
P08,Q11_describe,There is little transparency as to how the data will be used and the nature of Prolific only tends to give an outcome for the individual task.  It is possible you may be paid for a task but then removed from a white label group but the mechanics of this are not transparent at all - the work either appears on your dashboard or it does not!,Transparency & QA,Data usage transparency,transparency_positive,Y,Manually coded
P08,Q12_challenges,"I have not really experienced any significant challenges to the work, mainly it is a little dull and mundane so maintaining focus can be issue on batch tasks.  I have had no ethical concerns at all.",Task Design & Time Pressure,Task design challenges,work_pressure,Y,Manually coded
P08,Q13_improvements,"Work to be made available at times when I am free and to be completed at my leisure with a set deadline, rather than needed to be completed as soon as it is made available otherwise it will not be there later.",Task Design & Time Pressure,Task design challenges,time_constraints,Y,Manually coded
P09,Q7_explain,"I feel fairly compensated because the payment reflects the time and effort required for each task. The wage varies appropriately based on task complexity, more complex tasks offer higher pay, which makes sense and feels balanced.",Compensation & Economic Security,Positive compensation experience,time_effort_reflection,Y,Manually coded
P09,Q11_describe,"Task acceptance was straightforward, each task type was explained clearly before I made my workload decisions, and the expectations were well-defined. The interface made it easy to understand how many tasks I could choose at each wage rate, which helped in making informed decisions.",Transparency & QA,Positive transparency experience,clear_processes,Y,Manually coded
P09,Q12_challenges,"As a data annotator, one of the biggest challenges is the lack of fair pay relative to the effort required , especially on crowd-sourced platforms. Some tasks are time-consuming or mentally taxing, such as labeling complex images or transcribing unclear audio—but the compensation doesn’t always reflect that effort.",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; time_effort_reflection,Y,Manually coded
P09,Q13_improvements,Platforms should ensure wages are proportional to task difficulty and time required. A tiered payment system based on complexity would help,Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P10,Q7_explain,some task requires a lot of effort as compared to the compensation offered,Compensation & Economic Security,Effort-pay mismatch,,N,Manually coded
P10,Q9_followup,"They said they did not find the data in their system, the platform refused to rectify it but i had proof",Platform Reliability & Access,Platform access problems,platform_issues,N,Systematically coded
P10,Q10_effects,"human operation,no warnings were given",Content Exposure & Emotional Load,,,N,Systematically coded
P10,Q11_describe,"rating systems is not transparent, we get rejections that reseachers fail to justify",Transparency & QA,Opaque rejection processes,rejection_issues; rating_issues; transparency_positive,N,Manually coded
P10,Q12_challenges,payments issues,Compensation & Economic Security,General compensation issues,,N,Manually coded
P10,Q13_improvements,"i need fair payment, the other time i got 70 images to annotate for a fee of $1",Compensation & Economic Security,Effort-pay mismatch,,N,Manually coded
P11,Q7_explain,"$3 for a task that takes 35 minutes with content that needs you to be very attentive, is too low.",Compensation & Economic Security,General compensation issues,,N,Manually coded
P11,Q11_describe,They provide very detailed instructions and how you can contact researchers to get better feedback.,Transparency & QA,General transparency issues,feedback_issues,N,Manually coded
P11,Q12_challenges,The payment is just not fair for the amount of work I do.,Compensation & Economic Security,Effort-pay mismatch,,N,Manually coded
P11,Q13_improvements,The pay for tasks should be reconsidered.,Compensation & Economic Security,General compensation issues,,N,Manually coded
P12,Q7_explain,Always could get more,Compensation & Economic Security,General compensation issues,,N,Manually coded
P12,Q9_followup,Time out,Task Design & Time Pressure,Task design challenges,time_constraints,N,Systematically coded
P12,Q10_effects,Triggering and made me feel sad,Content Exposure & Emotional Load,,,N,Systematically coded
P12,Q11_describe,Payment seems poor at timed,Transparency & QA,General transparency issues,,N,Manually coded
P12,Q12_challenges,Platform doesn’t care if something times out and your spend hours doing tasks,Task Design & Time Pressure,Task design challenges,time_constraints,N,Manually coded
P12,Q13_improvements,An online bot to help,Support & Dispute Resolution,Support system challenges,help_available,N,Manually coded
P13,Q7_explain,stable,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P13,Q12_challenges,sometimes stressful,Content Exposure & Emotional Load,Mental and emotional impact,work_stress,N,Manually coded
P13,Q13_improvements,no idea,Compensation & Economic Security,General compensation issues,,N,Manually coded
P14,Q7_explain,The tasks in Mechanical Turk is not fairly compensated.,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P14,Q10_effects,"I don't remember, it has been a while.",Content Exposure & Emotional Load,,,N,Systematically coded
P14,Q12_challenges,"Unfair payment, underestimated required time",Compensation & Economic Security,Effort-pay mismatch,unfair_pay,N,Manually coded
P14,Q13_improvements,"For Mechanical Turk, there should be a minimum payment per hour as in Prolific to unsure fairness.",Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P15,Q7_explain,For beer money,Compensation & Economic Security,General compensation issues,,N,Manually coded
P15,Q11_describe,Prolific always paid well and on time,Transparency & QA,Positive transparency experience,clear_processes,N,Manually coded
P15,Q12_challenges,I did not have any ethical concern,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P15,Q13_improvements,Get more jobs of that type,Compensation & Economic Security,General compensation issues,,N,Manually coded
P16,Q7_explain,i feel the amount of time spent for my output to be quality is not commensurate with the pay,Compensation & Economic Security,Effort-pay mismatch,,N,Manually coded
P16,Q11_describe,Most of the platforms are very transparent as regarding the pay per hour. we just choose to work with that regardless,Transparency & QA,Positive transparency experience,transparency_positive,Y,Manually coded
P16,Q12_challenges,violation of regulatory rules,Compensation & Economic Security,General compensation issues,,N,Manually coded
P16,Q13_improvements,Obviously the renumeration because the amount paid often make people rush though the task thus producing substandard work.,Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P17,Q7_explain,Many tasks takes long durtion to complete and does pay less amount than needed,Compensation & Economic Security,General compensation issues,,N,Manually coded
P17,Q10_effects,Violent content nudity,Content Exposure & Emotional Load,Disturbing content exposure,violent_content,N,Systematically coded
P17,Q11_describe,The studies provide clear instructions on the participation requirements and creteria,Transparency & QA,Positive transparency experience,clear_processes,N,Manually coded
P17,Q12_challenges,Technical issues in the studies and errors by developers,Platform Reliability & Access,Technical reliability issues,technical_issues; system_errors,N,Manually coded
P17,Q13_improvements,Compensation should be correspond to duration of tasks,Compensation & Economic Security,General compensation issues,,N,Manually coded
P18,Q7_explain,I feel that it requires more focus and time therefore it should be compensated accordingly,Compensation & Economic Security,Effort-pay mismatch,,N,Manually coded
P18,Q9_followup,"Researcher asked a trick question and I was rejected for that, tried communicating and appealing and no feedback on that",Transparency & QA,General transparency issues,feedback_issues,N,Systematically coded
P18,Q10_effects,I have not,Content Exposure & Emotional Load,,,N,Systematically coded
P18,Q11_describe,The study rules and method of compensation i quite clear just sometimes a study is underpaying,Transparency & QA,Positive transparency experience,clear_processes,N,Manually coded
P18,Q12_challenges,It is sometimes mentally challenging,Content Exposure & Emotional Load,Mental and emotional impact,mental_impact,N,Manually coded
P18,Q13_improvements,perhaps fair compensation and more time added to complete,Compensation & Economic Security,Effort-pay mismatch,,N,Manually coded
P19,Q7_explain,Payment is good and fair also the longer you take the more payment you get which is good for tasks that are well explained and easy to do,Compensation & Economic Security,Positive compensation experience,,Y,Manually coded
P19,Q11_describe,The platform is clear about task acceptance and payment but the rating system and design choices could be explained better to avoid confusion and ensure fair evaluations,Transparency & QA,Rating system issues,rating_issues; clear_processes,Y,Manually coded
P19,Q12_challenges,There’s pressure to work fast for low pay which can cause stress,Compensation & Economic Security,Low pay rates,,N,Manually coded
P19,Q13_improvements,"higher pay rates, better support channels and more communication about how our work contributes would make data labeling fair",Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P20,Q7_explain,The pay matches the time and work I have to complete,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N,Manually coded
P20,Q9_followup,"The task just didn't stop and went over the allotted time, I contacted the researcher but no reply.",Task Design & Time Pressure,Task design challenges,time_constraints,N,Systematically coded
P20,Q10_effects,Haven't encountered it,Content Exposure & Emotional Load,,,N,Systematically coded
P20,Q11_describe,"Prolific shows the time the task will take and how much it is,",Transparency & QA,Positive transparency experience,clear_processes,N,Manually coded
P20,Q12_challenges,Haven't yet,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P20,Q13_improvements,notify every time tasks are available,Task Design & Time Pressure,Task design challenges,time_constraints,N,Manually coded
P21,Q7_explain,I feel the payment is very fair for the time I spend doing the study,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N,Manually coded
P21,Q10_effects,"people who are injured or dirty places, but it didn't affect me at all",Content Exposure & Emotional Load,,,N,Systematically coded
P21,Q11_describe,before starting the study everything is explained and how my data will be used and I always have an option to choose if I want my data to be used,Transparency & QA,Data usage transparency,,Y,Manually coded
P21,Q12_challenges,By not receiving the same study anymore,Compensation & Economic Security,General compensation issues,,N,Manually coded
P21,Q13_improvements,adding multiple submission and add more places to the study,Compensation & Economic Security,General compensation issues,,N,Manually coded
P22,Q7_explain,The payment mostly matches the amount of time needed on the task.,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N,Manually coded
P22,Q9_followup,A task was timed out due to connectivity issues and I was not compensated due to the fact that the task had a time allocation.,Task Design & Time Pressure,Task design challenges,time_constraints,N,Systematically coded
P22,Q10_effects,Graphic and Offensive content. The platform gave warnings. It did not affect me in anyway because I know it was for research purposes.,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N,Systematically coded
P22,Q11_describe,I have not encountered any bad experience. some of the tasks are underpaying and most pay a fair amount for the work required.,Transparency & QA,Positive transparency experience,clear_processes,Y,Manually coded
P22,Q12_challenges,Time consuming and underpaying. Repetitive questions.,Compensation & Economic Security,Effort-pay mismatch,,N,Manually coded
P22,Q13_improvements,Better compensation for longer tasks.,Compensation & Economic Security,General compensation issues,,N,Manually coded
P23,Q7_explain,The payment depends on the type of tasks and the time required to do them and the tasks are fairly good and the payment is appropriate,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,Y,Manually coded
P23,Q9_followup,The researcher said that my data was missing and I had to return the study and that meant that I would not get paid for the work. I did not appeal,Support & Dispute Resolution,Appeal process issues,appeal_process,N,Systematically coded
P23,Q10_effects,It was pornographic and the platform had already given warning,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N,Systematically coded
P23,Q11_describe,They are not clear on task acceptance because sometimes you get rejected but the reason is not clear.,Transparency & QA,Opaque rejection processes,rejection_issues,Y,Manually coded
P23,Q12_challenges,Sometimes the task given is too long and you have to finish it in one go,Task Design & Time Pressure,Task design challenges,time_constraints,N,Manually coded
P23,Q13_improvements,Some researchers take too long to pay for the work done. payment should be done at most in 7 days.,Compensation & Economic Security,Effort-pay mismatch,,N,Manually coded
P24,Q7_explain,I feels like the time I spend on surveys is worth it,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N,Manually coded
P24,Q9_followup,The reason for being rejected was that I took the survey quickly.,Support & Dispute Resolution,,,N,Systematically coded
P24,Q10_effects,Xrated Photos,Content Exposure & Emotional Load,,,N,Systematically coded
P24,Q11_describe,"The platforms has always paid me and if the survey doesn't pay within 22 days, the platform pays automatically.",Transparency & QA,Positive transparency experience,clear_processes,Y,Manually coded
P24,Q13_improvements,I feel like Prolific is perfect.,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P25,Q7_explain,not sure what is the standard across for payment.,Compensation & Economic Security,General compensation issues,,N,Manually coded
P25,Q9_followup,"The task was very long, and after I had finished, it was rejected on the basis that it did not reach the required number of corrections or right answers. That was unfair to me because I spent a lot of time, and the task was very tedious.",Compensation & Economic Security,Effort-pay mismatch,unfair_pay,Y,Systematically coded
P25,Q10_effects,"So far, I haven't encountered harmful or disturbing content.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content,N,Systematically coded
P25,Q11_describe,"All tasks are cleared before performance, so that you have a chance to reject or accept the task.",Transparency & QA,Positive transparency experience,clear_processes,N,Manually coded
P25,Q12_challenges,Nothing much currently. Some can be tedious for a small amount of payment.,Compensation & Economic Security,General compensation issues,,N,Manually coded
P25,Q13_improvements,more payment would be appreciated.,Compensation & Economic Security,General compensation issues,,N,Manually coded
P26,Q7_explain,Some tasks require a lot lot of effort and time but pay vey little,Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; time_effort_reflection,N,Manually coded
P26,Q9_followup,the researcher rejected my submission and did not respond to my messages,Support & Dispute Resolution,,,N,Systematically coded
P26,Q10_effects,The content was visually disturbing. The were some pornographic images,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content,N,Systematically coded
P26,Q11_describe,One can get a rejection and never get to know why,Transparency & QA,Opaque rejection processes,rejection_issues,N,Manually coded
P26,Q12_challenges,Some researchers can give you a very long task but give you a very short time to complete it,Task Design & Time Pressure,Task design challenges,time_constraints,N,Manually coded
P26,Q13_improvements,There should be no disturbing content,Compensation & Economic Security,General compensation issues,,N,Manually coded
P27,Q7_explain,I BELIEVE I;M FAIRLY COMPENSATED DUE TO THE AMOUNT OF TIME I SPEND ON EACH PROJECT,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N,Manually coded
P27,Q11_describe,"I WOULD MOSTLY FOCUS ON PROLIFIC, IT IS VERY TRANSPARENT WHEN IT COMES TO COMPENSATION, LIKE YOU TAKE ON A STUDY KNOWING VERY WELL HOW MUCH YOU'RE GOING TO GET PAID",Transparency & QA,Positive transparency experience,transparency_positive,Y,Manually coded
P27,Q12_challenges,HONESTLY THERE ARE NONE,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P27,Q13_improvements,I BELIEVE INTERACTIONS BETWEEN RESEARCHERS AND PARTICIPANTS WOULD BE VERY HELPFUL,Support & Dispute Resolution,Support system challenges,help_available,N,Manually coded
P28,Q7_explain,"Some tasks are well compensated and others not so much. I think it is usually to do with the platform and type of work I do. 

However, sometimes the work is quite tedious and time consuming but the pay is low.",Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P28,Q9_followup,"Only on a few occasions I have been rejected, but most of the time the reasons are vague, mainly the feedback can take  like 2-3 weeks and I probably already forgotten what that task were.

The feedback is quite appalling, sometimes the reasons don't even make sense. Like they approve 95% but the one task is not approved.

I don't bother appealing, as I accept as part of the job. But if the platform rejects too many time, I will leave the platform and not do it again.",Transparency & QA,General transparency issues,feedback_issues,N,Systematically coded
P28,Q10_effects,"I was moderating comments and they were very disturbing and colourful and sometimes I felt illegal.

Mentally/Emotionally initially can be quite distressing but overtime I become numb to the affects and accepted that was my job. 

There were warnings from the vendors but merely glance at it, I don't think they offer any kind of support, I think they just said you can simply optout on these tasks.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; work_stress; mental_impact; content_warnings; support_available,Y,Systematically coded
P28,Q11_describe,"The work we do is quite transparent in terms of instructions and how we are paid. Usually per tasks or by the hour.

However, when it comes to feedback most times it is very poor, bans, temporary bans, account is limited and some tasks rejected, you do not know why. And most people would simply go to forums like reddit to see if anyone was in the same situation.

Unlike a real job, someone would advise you at least you did this wrong or you could do better, none here. Its like working in a silo, the moderators don't want to deal with you. Sending feedback or contacting them is useless, no one ever sends you anything.

I simply take it that, you either understand the work or you don't. 

But you know it is what it is I guess.",Transparency & QA,Positive transparency experience,feedback_issues; transparency_positive,Y,Manually coded
P28,Q12_challenges,"I think the biggest strain is when projects or tasks are released, there is no set time. You feel that you have to be online long enough in order to get your piece of the pie.

Its like a competition with other fellow workers. Which can play havoc to sleep.

Also, the paranoid of been banned or shadow banned when your dashboard has no work. And they is no recourse on why, or is it because there is no work  and it is rather annoying especially if you need the work to help with finances.",Task Design & Time Pressure,Task design challenges,time_constraints,Y,Manually coded
P28,Q13_improvements,"Treat us like workers, give us feedback that is helpful, if we do good work give us promotions and offer some kind of community.

Don't treat us like a number.",Transparency & QA,General transparency issues,feedback_issues,Y,Manually coded
P29,Q7_explain,unpredictable,Compensation & Economic Security,Payment volatility,inconsistent_payment,N,Manually coded
P29,Q9_followup,"I got an error message at the end of the study during submission, then proceeded to submit without code because I wanted to be compensated if not fully partly for my time, but the researcher went ahead to reject the study without any form of communication even after prompting them about the technical issue.",Platform Reliability & Access,Technical reliability issues,technical_issues; system_errors,N,Systematically coded
P29,Q10_effects,"I studied an image that was a riot of neon colors vivid pinks, bright blues, and sharp yellows—blending into a mildly overwhelming pattern. A colleague had warned me it might strain the eyes, but the effect was minimal, causing only slight discomfort. My eyes adjusted quickly, and I continued my analysis without much trouble. The platform didn’t provide specific warnings or filters for this image. Overall, the visual overload was non-significant and didn’t impact my work.",Content Exposure & Emotional Load,Platform access problems,platform_issues,N,Systematically coded
P29,Q11_describe,"The platform clearly outlined task acceptance, with intuitive design choices, transparent rating systems, and straightforward payment rules, making the experience seamless",Transparency & QA,Rating system issues,rating_issues; transparency_positive; clear_processes,Y,Manually coded
P29,Q12_challenges,"As a data annotator, I’ve encountered minor challenges like vague task guidelines, which can make accurate image analysis tricky but manageable. Ethically, the risk of emotional strain from potentially disturbing content, like graphic images, is a concern, though platform warnings help mitigate this. Fairness in compensation and avoiding bias in subjective annotations remain critical issues, requiring clear rules and support.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings; support_available,Y,Manually coded
P29,Q13_improvements,"To make data labeling fairer, platforms should offer transparent, competitive pay tied to task complexity and clear guidelines to minimize errors and frustration. Providing content warnings, opt-out options for disturbing material, and mental health support would enhance sustainability and respect for workers. Open feedback channels and anti-bias training with diverse teams would ensure equitable, high-quality outcomes.",Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P30,Q7_explain,For some tasks one may take much more time to finish the task because it will be longer than the time given,Compensation & Economic Security,Effort-pay mismatch,,Y,Manually coded
P30,Q9_followup,The researcher said that i had given low effort in the task and ended up rejecting my submission,Support & Dispute Resolution,,,N,Systematically coded
P30,Q10_effects,I once did a study that was emotionally  disturbing and there was no warning given beforehand. I withdrew from the study,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,Y,Systematically coded
P30,Q11_describe,"They are not clear on task acceptance. some researchers can just choose to reject the submission and them give you a lame reason like "" the response was automatically flagged""",Transparency & QA,Positive transparency experience,clear_processes,Y,Manually coded
P30,Q12_challenges,Some tasks can cause emotional strain and yet there wont be any further steps to solve the problem,Content Exposure & Emotional Load,Mental and emotional impact,,N,Manually coded
P30,Q13_improvements,For some tasks they need to pay fairly because they are too long,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P31,Q7_explain,Some tasks are too long compared to the amount that is being paid for it.,Compensation & Economic Security,General compensation issues,,N,Manually coded
P31,Q9_followup,The researcher said that I had exceeded the average time to finish the study hence rejecting it. I simply asked to return it and I was never paid for it,Task Design & Time Pressure,Task design challenges,time_constraints,N,Systematically coded
P31,Q10_effects,Sometimes I do get tasks that have pornographic content and the are warnings given before you can begin the study,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N,Systematically coded
P31,Q11_describe,The platform is transparent on how the researchers are paying us and the expected hourly rates,Transparency & QA,Positive transparency experience,transparency_positive,N,Manually coded
P31,Q12_challenges,Some researchers just reject submissions without giving a clear reason for it and they wont be available even when you try to reach them,Compensation & Economic Security,General compensation issues,,Y,Manually coded
P31,Q13_improvements,The researchers should improve on communication,Support & Dispute Resolution,Communication problems,communication_issues,N,Manually coded
P32,Q7_explain,Pretty consistent generally,Compensation & Economic Security,Positive compensation experience,stable_fair_pay,N,Manually coded
P32,Q12_challenges,Sometimes the instructions can be a little unclear,Transparency & QA,Instruction clarity issues,unclear_processes,N,Manually coded
P32,Q13_improvements,I wish the minimum pay rates would be increased,Compensation & Economic Security,General compensation issues,,N,Manually coded
P33,Q7_explain,"It depends, but sometimes what you get isn't worth the time and effort required.",Compensation & Economic Security,Effort-pay mismatch,time_effort_reflection,N,Manually coded
P33,Q11_describe,Most hits aren't clear how they are reviewed or what it is used for.,Transparency & QA,Data usage transparency,unclear_processes,N,Manually coded
P33,Q12_challenges,Errors in the content that aren't covered leaving me unsure how to rate them or make it impossible to complete the job.,Platform Reliability & Access,Technical reliability issues,system_errors,Y,Manually coded
P33,Q13_improvements,I think better pay and being more responsive to messages would be helpful.,Compensation & Economic Security,General compensation issues,,N,Manually coded
P34,Q7_explain,This instability makes it difficult to rely on data labeling as a consistent source of income.,Compensation & Economic Security,General compensation issues,,N,Manually coded
P34,Q12_challenges,no,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P34,Q13_improvements,no,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P35,Q7_explain,"Why or why not?

Time vs. Pay: If I were paid per task, the amount of time it takes to complete each one would be a huge factor. Many data labeling tasks can be time-consuming, especially when they require high accuracy. If the pay rate doesn’t scale with time or effort, it could be hard to meet basic needs on that alone.",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; time_effort_reflection,Y,Manually coded
P35,Q9_followup,"Ah, I see now! You’re referring to a specific experience with a task rejection or going unpaid.

If you’ve had this happen, it can definitely feel frustrating. Usually, when a task gets rejected or you’re not paid for completed work, the platform should ideally give you a clear reason. Sometimes, it could be due to errors in the way the task was completed, like missing a specific instruction or misunderstanding the requirements. Other times, platforms might have vague rejection reasons that don’t give much feedback.

Did they provide any explanation for the rejection, or were you just left in the dark? Was there any opportunity to appeal or dispute the decision? It can be tough if you feel like there’s no way to challenge or fix an issue that you may not have fully understood at the time.",Transparency & QA,Opaque rejection processes,rejection_issues; rating_issues; feedback_issues; clear_processes,Y,Systematically coded
P35,Q10_effects,"Emotional exhaustion: Constant exposure to disturbing content could lead to a kind of emotional burnout where the weight of the content feels overwhelming.

Desensitization: On the flip side, prolonged exposure might lead to desensitization, where it becomes harder to react emotionally or see the gravity of certain content, which can have its own consequences.

Mental fatigue: It could also affect focus or mental clarity, making it harder to perform the work accurately and effectively, which might lead to mistakes or missed details.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; mental_impact,Y,Systematically coded
