PID,QuestionID,Text,Domain,Subtheme,Codes,QuoteCandidate
P19,Q7_explain,Payment is good and fair also the longer you take the more payment you get which is good for tasks that are well explained and easy to do,Compensation & Economic Security,Positive compensation experience,,Y
P19,Q11_describe,The platform is clear about task acceptance and payment but the rating system and design choices could be explained better to avoid confusion and ensure fair evaluations,Transparency & QA,Rating system issues,rating_issues; clear_processes,Y
P19,Q12_challenges,There’s pressure to work fast for low pay which can cause stress,Compensation & Economic Security,Low pay rates,,N
P20,Q7_explain,The pay matches the time and work I have to complete,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N
P20,Q9_followup,"The task just didn't stop and went over the allotted time, I contacted the researcher but no reply.",Task Design & Time Pressure,Task design challenges,time_constraints,N
P20,Q10_effects,Haven't encountered it,Content Exposure & Emotional Load,,,N
P20,Q11_describe,"Prolific shows the time the task will take and how much it is,",Transparency & QA,Positive transparency experience,clear_processes,N
P20,Q12_challenges,Haven't yet,Compensation & Economic Security,Positive compensation experience,,N
P21,Q7_explain,I feel the payment is very fair for the time I spend doing the study,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N
P21,Q10_effects,"people who are injured or dirty places, but it didn't affect me at all",Content Exposure & Emotional Load,,,N
P21,Q11_describe,before starting the study everything is explained and how my data will be used and I always have an option to choose if I want my data to be used,Transparency & QA,Data usage transparency,,Y
P21,Q12_challenges,By not receiving the same study anymore,Task Design & Time Pressure,Task design challenges,time_constraints,N
P22,Q7_explain,The payment mostly matches the amount of time needed on the task.,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N
P22,Q9_followup,A task was timed out due to connectivity issues and I was not compensated due to the fact that the task had a time allocation.,Task Design & Time Pressure,Task design challenges,time_constraints,N
P22,Q10_effects,Graphic and Offensive content. The platform gave warnings. It did not affect me in anyway because I know it was for research purposes.,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N
P22,Q11_describe,I have not encountered any bad experience. some of the tasks are underpaying and most pay a fair amount for the work required.,Transparency & QA,Positive transparency experience,clear_processes,Y
P22,Q12_challenges,Time consuming and underpaying. Repetitive questions.,Compensation & Economic Security,Effort-pay mismatch,,N
P23,Q7_explain,The payment depends on the type of tasks and the time required to do them and the tasks are fairly good and the payment is appropriate,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,Y
P23,Q9_followup,The researcher said that my data was missing and I had to return the study and that meant that I would not get paid for the work. I did not appeal,Support & Dispute Resolution,Appeal process issues,appeal_process,N
P23,Q10_effects,It was pornographic and the platform had already given warning,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N
P23,Q11_describe,They are not clear on task acceptance because sometimes you get rejected but the reason is not clear.,Transparency & QA,Opaque rejection processes,rejection_issues,Y
P23,Q12_challenges,Sometimes the task given is too long and you have to finish it in one go,Task Design & Time Pressure,Task design challenges,time_constraints,N
P24,Q7_explain,I feels like the time I spend on surveys is worth it,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N
P24,Q9_followup,The reason for being rejected was that I took the survey quickly.,Support & Dispute Resolution,Appeal process issues,appeal_process,N
P24,Q10_effects,Xrated Photos,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content,N
P24,Q11_describe,"The platforms has always paid me and if the survey doesn't pay within 22 days, the platform pays automatically.",Transparency & QA,Positive transparency experience,clear_processes,Y
P25,Q7_explain,not sure what is the standard across for payment.,Compensation & Economic Security,General compensation issues,,N
P25,Q9_followup,"The task was very long, and after I had finished, it was rejected on the basis that it did not reach the required number of corrections or right answers. That was unfair to me because I spent a lot of time, and the task was very tedious.",Compensation & Economic Security,Effort-pay mismatch,unfair_pay,Y
P25,Q10_effects,"So far, I haven't encountered harmful or disturbing content.",Content Exposure & Emotional Load,Positive content experience,,N
P25,Q11_describe,"All tasks are cleared before performance, so that you have a chance to reject or accept the task.",Transparency & QA,Positive transparency experience,clear_processes,N
P25,Q12_challenges,Nothing much currently. Some can be tedious for a small amount of payment.,Compensation & Economic Security,Effort-pay mismatch,,N
P26,Q7_explain,Some tasks require a lot lot of effort and time but pay vey little,Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; time_effort_reflection,N
P26,Q9_followup,the researcher rejected my submission and did not respond to my messages,Support & Dispute Resolution,Appeal process issues,appeal_process,N
P26,Q10_effects,The content was visually disturbing. The were some pornographic images,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content,N
P26,Q11_describe,One can get a rejection and never get to know why,Transparency & QA,Opaque rejection processes,rejection_issues,N
P26,Q12_challenges,Some researchers can give you a very long task but give you a very short time to complete it,Task Design & Time Pressure,Task design challenges,time_constraints,N
P27,Q7_explain,I BELIEVE I;M FAIRLY COMPENSATED DUE TO THE AMOUNT OF TIME I SPEND ON EACH PROJECT,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N
P27,Q11_describe,"I WOULD MOSTLY FOCUS ON PROLIFIC, IT IS VERY TRANSPARENT WHEN IT COMES TO COMPENSATION, LIKE YOU TAKE ON A STUDY KNOWING VERY WELL HOW MUCH YOU'RE GOING TO GET PAID",Transparency & QA,Positive transparency experience,transparency_positive,Y
P27,Q12_challenges,HONESTLY THERE ARE NONE,Compensation & Economic Security,Positive compensation experience,,N
P28,Q7_explain,"Some tasks are well compensated and others not so much. I think it is usually to do with the platform and type of work I do. 

However, sometimes the work is quite tedious and time consuming but the pay is low.",Compensation & Economic Security,Effort-pay mismatch,,Y
P28,Q9_followup,"Only on a few occasions I have been rejected, but most of the time the reasons are vague, mainly the feedback can take  like 2-3 weeks and I probably already forgotten what that task were.

The feedback is quite appalling, sometimes the reasons don't even make sense. Like they approve 95% but the one task is not approved.

I don't bother appealing, as I accept as part of the job. But if the platform rejects too many time, I will leave the platform and not do it again.",Transparency & QA,Opaque rejection processes,rejection_issues,N
P28,Q10_effects,"I was moderating comments and they were very disturbing and colourful and sometimes I felt illegal.

Mentally/Emotionally initially can be quite distressing but overtime I become numb to the affects and accepted that was my job. 

There were warnings from the vendors but merely glance at it, I don't think they offer any kind of support, I think they just said you can simply optout on these tasks.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; work_stress; mental_impact; content_warnings; support_available,Y
P28,Q11_describe,"The work we do is quite transparent in terms of instructions and how we are paid. Usually per tasks or by the hour.

However, when it comes to feedback most times it is very poor, bans, temporary bans, account is limited and some tasks rejected, you do not know why. And most people would simply go to forums like reddit to see if anyone was in the same situation.

Unlike a real job, someone would advise you at least you did this wrong or you could do better, none here. Its like working in a silo, the moderators don't want to deal with you. Sending feedback or contacting them is useless, no one ever sends you anything.

I simply take it that, you either understand the work or you don't. 

But you know it is what it is I guess.",Transparency & QA,General transparency issues,feedback_issues,Y
P28,Q12_challenges,"I think the biggest strain is when projects or tasks are released, there is no set time. You feel that you have to be online long enough in order to get your piece of the pie.

Its like a competition with other fellow workers. Which can play havoc to sleep.

Also, the paranoid of been banned or shadow banned when your dashboard has no work. And they is no recourse on why, or is it because there is no work  and it is rather annoying especially if you need the work to help with finances.",Task Design & Time Pressure,Task design challenges,time_constraints,Y
P29,Q7_explain,unpredictable,Compensation & Economic Security,Payment volatility,inconsistent_payment,N
P29,Q9_followup,"I got an error message at the end of the study during submission, then proceeded to submit without code because I wanted to be compensated if not fully partly for my time, but the researcher went ahead to reject the study without any form of communication even after prompting them about the technical issue.",Platform Reliability & Access,Technical reliability issues,technical_issues; system_errors,N
P29,Q10_effects,"I studied an image that was a riot of neon colors vivid pinks, bright blues, and sharp yellows—blending into a mildly overwhelming pattern. A colleague had warned me it might strain the eyes, but the effect was minimal, causing only slight discomfort. My eyes adjusted quickly, and I continued my analysis without much trouble. The platform didn't provide specific warnings or filters for this image. Overall, the visual overload was non-significant and didn't impact my work.",Content Exposure & Emotional Load,Disturbing content exposure,content_warnings,N
P29,Q11_describe,"The platform clearly outlined task acceptance, with intuitive design choices, transparent rating systems, and straightforward payment rules, making the experience seamless",Transparency & QA,Positive transparency experience,clear_processes,Y
P29,Q12_challenges,"As a data annotator, I’ve encountered minor challenges like vague task guidelines, which can make accurate image analysis tricky but manageable. Ethically, the risk of emotional strain from potentially disturbing content, like graphic images, is a concern, though platform warnings help mitigate this. Fairness in compensation and avoiding bias in subjective annotations remain critical issues, requiring clear rules and support.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings; support_available,Y
P30,Q7_explain,For some tasks one may take much more time to finish the task because it will be longer than the time given,Compensation & Economic Security,Effort-pay mismatch,,Y
P30,Q9_followup,The researcher said that i had given low effort in the task and ended up rejecting my submission,Support & Dispute Resolution,Appeal process issues,appeal_process,N
P30,Q10_effects,I once did a study that was emotionally  disturbing and there was no warning given beforehand. I withdrew from the study,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,Y
P30,Q11_describe,"They are not clear on task acceptance. some researchers can just choose to reject the submission and them give you a lame reason like "" the response was automatically flagged""",Transparency & QA,Opaque rejection processes,rejection_issues,Y
P30,Q12_challenges,Some tasks can cause emotional strain and yet there wont be any further steps to solve the problem,Content Exposure & Emotional Load,Mental and emotional impact,,N
P31,Q7_explain,Some tasks are too long compared to the amount that is being paid for it.,Compensation & Economic Security,Effort-pay mismatch,,N
P31,Q9_followup,The researcher said that I had exceeded the average time to finish the study hence rejecting it. I simply asked to return it and I was never paid for it,Task Design & Time Pressure,Task design challenges,time_constraints,N
P31,Q10_effects,Sometimes I do get tasks that have pornographic content and the are warnings given before you can begin the study,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N
P31,Q11_describe,The platform is transparent on how the researchers are paying us and the expected hourly rates,Transparency & QA,Positive transparency experience,transparency_positive,N
P31,Q12_challenges,Some researchers just reject submissions without giving a clear reason for it and they wont be available even when you try to reach them,Transparency & QA,Opaque rejection processes,rejection_issues,Y
P32,Q7_explain,Pretty consistent generally,Compensation & Economic Security,Positive compensation experience,stable_fair_pay,N
P32,Q12_challenges,Sometimes the instructions can be a little unclear,Transparency & QA,Instruction clarity issues,unclear_processes,N
P33,Q7_explain,"It depends, but sometimes what you get isn't worth the time and effort required.",Compensation & Economic Security,Effort-pay mismatch,time_effort_reflection,N
P33,Q11_describe,Most hits aren't clear how they are reviewed or what it is used for.,Transparency & QA,Data usage transparency,unclear_processes,N
P33,Q12_challenges,Errors in the content that aren't covered leaving me unsure how to rate them or make it impossible to complete the job.,Platform Reliability & Access,Technical reliability issues,system_errors,Y
P34,Q7_explain,This instability makes it difficult to rely on data labeling as a consistent source of income.,Compensation & Economic Security,Payment volatility,inconsistent_payment,N
P34,Q12_challenges,no,Compensation & Economic Security,Positive compensation experience,,N
P35,Q7_explain,"Why or why not?

Time vs. Pay: If I were paid per task, the amount of time it takes to complete each one would be a huge factor. Many data labeling tasks can be time-consuming, especially when they require high accuracy. If the pay rate doesn’t scale with time or effort, it could be hard to meet basic needs on that alone.",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; time_effort_reflection,Y
P35,Q9_followup,"Ah, I see now! You’re referring to a specific experience with a task rejection or going unpaid.

If you’ve had this happen, it can definitely feel frustrating. Usually, when a task gets rejected or you’re not paid for completed work, the platform should ideally give you a clear reason. Sometimes, it could be due to errors in the way the task was completed, like missing a specific instruction or misunderstanding the requirements. Other times, platforms might have vague rejection reasons that don’t give much feedback.

Did they provide any explanation for the rejection, or were you just left in the dark? Was there any opportunity to appeal or dispute the decision? It can be tough if you feel like there’s no way to challenge or fix an issue that you may not have fully understood at the time.",Transparency & QA,Opaque rejection processes,rejection_issues; rating_issues; feedback_issues; clear_processes,Y
P35,Q10_effects,"Emotional exhaustion: Constant exposure to disturbing content could lead to a kind of emotional burnout where the weight of the content feels overwhelming.

Desensitization: On the flip side, prolonged exposure might lead to desensitization, where it becomes harder to react emotionally or see the gravity of certain content, which can have its own consequences.

Mental fatigue: It could also affect focus or mental clarity, making it harder to perform the work accurately and effectively, which might lead to mistakes or missed details.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; mental_impact,Y
P35,Q11_describe,yes,Transparency & QA,General transparency issues,,N
P35,Q12_challenges,"Fairness and Bias
One of the most significant challenges in data labeling is ensuring that the work is fair and unbiased. When annotating content for AI models, there’s a risk of inadvertently reinforcing bias. For example, if data is labeled based on human judgments or cultural assumptions, it might skew the model to be more biased toward one group over another. The responsibility of making sure that every dataset is as unbiased as possible would be on the annotator, but the guidelines for labeling might not always provide clarity on how to navigate complex situations.",Task Design & Time Pressure,Instruction clarity issues,task_complexity; guideline_issues,Y
P36,Q7_explain,"The tasks are relatively quick or easy compared to the amount paid.
You can do them in flexible hours, possibly stacking with other income streams.",Compensation & Economic Security,Positive compensation experience,,Y
P36,Q9_followup,"A task I spent time on was rejected without a clear reason. It doesn’t happen often, but when it does, the platform offers little support and no real way to appeal. I wasn’t able to dispute it or get paid",Support & Dispute Resolution,Appeal process issues,support_issues; appeal_process,N
P36,Q10_effects,"Emotionally, it could be unsettling or draining, especially when it was unexpected or frequent. It sometimes made it harder to focus or feel motivated.",Content Exposure & Emotional Load,Mental and emotional impact,emotionally_draining,N
P36,Q11_describe,"The platform is often unclear about key aspects of the work. Task acceptance criteria aren't always explained, so it's hard to know why a task is rejected or accepted. The rating systems can feel inconsistent, and sometimes it's not clear how ratings are calculated or how they affect future opportunities.",Transparency & QA,Rating system issues,unclear_processes; unclear_criteria; rating_issues,Y
P36,Q12_challenges,"he biggest challenges are unclear task rules, unfair rejections, and lack of transparency. Disturbing content can cause emotional strain, and there's little support or way to dispute decisions. It often feels like the platform prioritizes speed over worker well-being.",Transparency & QA,General transparency issues,unclear_processes,Y
P37,Q7_explain,"Stability: If the pay is unpredictable, like being dependent on the volume of tasks or fluctuating demand, that could add stress and make it difficult to rely on it for consistent income. Inconsistent or delayed payments could make it even harder to meet regular expenses.",Compensation & Economic Security,Payment volatility,inconsistent_payment,Y
P37,Q9_followup,"Ah, I see now! You’re referring to a specific experience with a task rejection or going unpaid.

If you’ve had this happen, it can definitely feel frustrating. Usually, when a task gets rejected or you’re not paid for completed work, the platform should ideally give you a clear reason. Sometimes, it could be due to errors in the way the task was completed, like missing a specific instruction or misunderstanding the requirements. Other times, platforms might have vague rejection reasons that don’t give much feedback.

Did they provide any explanation for the rejection, or were you just left in the dark? Was there any opportunity to appeal or dispute the decision? It can be tough if you feel like there’s no way to challenge or fix an issue that you may not have fully understood at the time.",Transparency & QA,Opaque rejection processes,rejection_issues; rating_issues; feedback_issues; clear_processes,Y
P37,Q10_effects,"Emotional exhaustion: Constant exposure to disturbing content could lead to a kind of emotional burnout where the weight of the content feels overwhelming.

Desensitization: On the flip side, prolonged exposure might lead to desensitization, where it becomes harder to react emotionally or see the gravity of certain content, which can have its own consequences.

Mental fatigue: It could also affect focus or mental clarity, making it harder to perform the work accurately and effectively, which might lead to mistakes or missed details.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; mental_impact,Y
P37,Q11_describe,yes,Transparency & QA,General transparency issues,,N
P37,Q12_challenges,"Platform Usability and Confusing Rules
The platforms that offer data annotation jobs often come with poorly designed user interfaces or confusing, inconsistent guidelines. If I were working on a platform like this, unclear instructions could lead to frustration or mistakes. The work might also feel like a ""black box,"" with little insight into how my tasks are being used or evaluated in the bigger picture.",Transparency & QA,Instruction clarity issues,unclear_processes; black_box_process,Y
P38,Q7_explain,"Honestly speaking, the pay doesn’t always match the effort. Some tasks take a lot of time to understand and complete carefully, but the payment ends up being really low especially when you break it down hourly. Overall, it feels like a lot of work for not much reward, and the pay is pretty unpredictable.",Compensation & Economic Security,Effort-pay mismatch,inconsistent_payment; effort_pay_mismatch; time_effort_reflection,Y
P38,Q9_followup,"Yes, I’ve had tasks rejected a few times, and it’s really frustrating especially when I felt like I followed the instructions exactly. Sometimes no reason is given at all, or it's just a vague note like low quality without explaining what was wrong. Sometimes I sent email but they not response.",Task Design & Time Pressure,Instruction clarity issues,time_constraints; instruction_issues,N
P38,Q10_effects,"I’ve come across content that was violent like images of injuries.  Even if it’s part of the task, it can be really hard to process emotionally, especially when I'm doing this work for hours. Sometimes abuse related text that was very disturbing.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; violent_content,Y
P38,Q11_describe,"Some platforms provide a general idea of how tasks are reviewed or paid. I usually understand the basic rules, but there are times when a task gets rejected or a score drops without a clear explanation. I think need more transparency. Because It would definitely help build trust",Transparency & QA,General transparency issues,unclear_processes,Y
P38,Q12_challenges,I think the biggest challenges is the lack of feedback. Because timely feedback when tasks are rejected would help us improve and feel valued. Dealing with disturbing content without warnings is emotionally hard.,Transparency & QA,General transparency issues,feedback_issues,Y
P39,Q7_explain,", Payment, and Pay Stability",Compensation & Economic Security,General compensation issues,,N
P39,Q9_followup,permanent shutdowns or disabling of large,Support & Dispute Resolution,,,N
P39,Q10_effects,"avoid generating potentially harmful content, which can be categorized as disturbing or offensive.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content,N
P39,Q11_describe,provide information based on its design principles and capabilities as a virtual assistant.,Transparency & QA,General transparency issues,,N
P39,Q12_challenges,"t challenges and ethical concerns data annotators face, categorized for clarity:",Compensation & Economic Security,General compensation issues,,N
P40,Q7_explain,"When assessing tasks, consider the time and effort required, compare potential compensation across different tasks, and evaluate the perceived stability of payment. Understanding these factors can help individuals make informed decisions about their work and financial well-being.",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; time_effort_reflection,Y
P40,Q9_followup,"Chargebacks, where a customer disputes a credit or debit card transaction, are a common occurrence for businesses. Merchants can win some chargeback disputes, but many are lost.",Support & Dispute Resolution,,,N
P40,Q10_effects,NO,Content Exposure & Emotional Load,Positive content experience,,N
P40,Q11_describe,"the clarity of task descriptions and acceptance criteria, the transparency of the rating system and how it is used, the user-friendliness of the platform's design, and the explicitness of the payment structure",Transparency & QA,Rating system issues,unclear_criteria; rating_issues,Y
P40,Q12_challenges,"Data annotation, while crucial for AI development, presents several ethical challenges. These include concerns about privacy, bias, and the potential for exploitation of annotators",Content Exposure & Emotional Load,Ethical concerns,,Y
P41,Q7_explain,it feels stable payment are satisfied,Compensation & Economic Security,Positive compensation experience,,N
P41,Q9_followup,sometimes it rejected,Support & Dispute Resolution,Appeal process issues,appeal_process,N
P41,Q10_effects,no,Content Exposure & Emotional Load,Positive content experience,,N
